levelId,title,worldId,difficulty,timeLimit,mistakesAllowed,rewardCoins,rewardXp,threeStarTime,twoStarTime,background,thumbnail,itemId,x,y,radius,rotation,count
garden_01,Уютный сад,world_meadow,Easy,110,4,130,65,45,90,Backgrounds/garden_01,Thumbs/garden_01,wateringcan,0.20,0.60,0.05,0,1
garden_01,,,,,,,,,,,,glove,0.72,0.55,0.05,10,1
garden_01,,,,,,,,,,,,seeds,0.50,0.30,0.04,0,1
garden_01,,,,,,,,,,,,shovel,0.34,0.78,0.06,25,1
garden_01,,,,,,,,,,,,butterfly,0.83,0.28,0.04,0,1
garden_01,,,,,,,,,,,,carrot,0.14,0.44,0.05,-12,1
garden_01,,,,,,,,,,,,snail,0.63,0.74,0.03,0,1
garden_01,,,,,,,,,,,,birdhouse,0.45,0.20,0.06,0,1
garden_01,,,,,,,,,,,,flower,0.90,0.66,0.04,0,1
garden_01,,,,,,,,,,,,ladybug,0.28,0.36,0.03,0,1
kitchen_01,Домашняя кухня,world_attic,Normal,95,3,170,85,40,78,Backgrounds/kitchen_01,Thumbs/kitchen_01,mug,0.22,0.30,0.05,0,1
kitchen_01,,,,,,,,,,,,spoon,0.67,0.42,0.03,30,1
kitchen_01,,,,,,,,,,,,cookie,0.48,0.63,0.04,0,1
kitchen_01,,,,,,,,,,,,cheese,0.80,0.70,0.05,-6,1
kitchen_01,,,,,,,,,,,,kettle,0.16,0.66,0.07,0,1
kitchen_01,,,,,,,,,,,,egg,0.58,0.24,0.03,0,1
kitchen_01,,,,,,,,,,,,jar,0.36,0.40,0.05,0,1
kitchen_01,,,,,,,,,,,,bread,0.72,0.60,0.05,-15,1
kitchen_01,,,,,,,,,,,,apple,0.31,0.82,0.04,0,1
kitchen_01,,,,,,,,,,,,whisk,0.88,0.36,0.04,0,1
kitchen_01,,,,,,,,,,,,teapot,0.44,0.86,0.05,8,1
